"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2024","185.64","187.15","188.44","183.88","82.49M","-3.58%"
"01/03/2024","184.25","184.22","185.88","183.43","58.41M","-0.75%"
"01/04/2024","181.91","182.15","183.09","180.88","71.98M","-1.27%"
"01/05/2024","181.18","181.99","182.76","180.17","62.38M","-0.40%"
"01/08/2024","185.56","182.09","185.60","181.50","59.14M","2.42%"
"01/09/2024","185.14","183.92","185.15","182.73","42.84M","-0.23%"
"01/10/2024","186.19","184.35","186.40","183.92","46.79M","0.57%"
"01/11/2024","185.59","186.54","187.05","183.62","49.13M","-0.32%"
"01/12/2024","185.92","186.06","186.74","185.19","40.48M","0.18%"
"01/16/2024","183.63","182.16","184.26","180.93","65.60M","-1.23%"
"01/17/2024","182.68","181.27","182.93","180.30","47.32M","-0.52%"
"01/18/2024","188.63","186.09","189.14","185.83","78.01M","3.26%"
"01/19/2024","191.56","189.33","191.95","188.82","68.90M","1.55%"
"01/22/2024","193.89","192.30","195.33","192.26","60.13M","1.22%"
"01/23/2024","195.18","195.02","195.75","193.83","42.36M","0.67%"
"01/24/2024","194.50","195.42","196.38","194.34","53.63M","-0.35%"
"01/25/2024","194.17","195.22","196.27","193.11","54.82M","-0.17%"
"01/26/2024","192.42","194.27","194.76","191.94","44.59M","-0.90%"
"01/29/2024","191.73","192.01","192.20","189.58","47.15M","-0.36%"
"01/30/2024","188.04","190.94","191.80","187.47","55.86M","-1.92%"
"01/31/2024","184.40","187.04","187.10","184.35","55.47M","-1.94%"
"02/01/2024","186.86","183.99","186.95","183.82","64.89M","1.33%"
"02/02/2024","185.85","179.86","187.33","179.25","102.55M","-0.54%"
"02/05/2024","187.68","188.15","189.25","185.84","69.67M","0.98%"
"02/06/2024","189.30","186.86","189.31","186.77","43.49M","0.86%"
"02/07/2024","189.41","190.64","191.05","188.61","53.44M","0.06%"
"02/08/2024","188.32","189.38","189.54","187.35","40.96M","-0.58%"
"02/09/2024","188.85","188.65","189.99","188.00","45.16M","0.28%"
"02/12/2024","187.15","188.41","188.67","186.79","41.78M","-0.90%"
"02/13/2024","185.04","185.77","186.21","183.51","56.53M","-1.13%"
"02/14/2024","184.15","185.32","185.53","182.44","54.63M","-0.48%"
"02/15/2024","183.86","183.55","184.49","181.35","65.43M","-0.16%"
"02/16/2024","182.31","183.42","184.85","181.66","49.75M","-0.84%"
"02/20/2024","181.56","181.79","182.43","180.00","53.67M","-0.41%"
"02/21/2024","182.32","181.94","182.89","180.66","41.53M","0.42%"
"02/22/2024","184.37","183.48","184.96","182.46","52.29M","1.12%"
"02/23/2024","182.52","185.01","185.04","182.23","45.12M","-1.00%"
"02/26/2024","181.16","182.24","182.76","180.65","40.87M","-0.75%"
"02/27/2024","182.63","181.10","183.92","179.56","54.32M","0.81%"
"02/28/2024","181.42","182.51","183.12","180.13","48.95M","-0.66%"
